annee,iso3_origine,nb_cat,deces,affect
2018,CMR,1,57.0,942.0
2018,COD,13,2600.0,19972.0
2018,COG,1,26.0,0.0
2018,DJI,1,2.0,25000.0
2018,DZA,3,277.0,222.0
2018,EGY,1,12.0,39.0
2018,ETH,4,62.0,4021.0
2018,GHA,1,34.0,100000.0
2018,GIN,1,18.0,10.0
2018,GNB,3,32.0,11555.0
2018,KEN,7,227.0,211258.0
2018,LBY,8,425.0,267.0
2018,MAR,2,11.0,70032.0
2018,MDG,3,94.0,310605.0
2018,MLI,3,46.0,13150.0
2018,MOZ,3,51.0,77480.0
2018,MRT,2,11.0,350644.0
2018,MUS,1,0.0,30000.0
2018,MWI,3,5.0,9613.0
2018,NAM,1,0.0,556000.0
2018,NER,2,114.0,134292.0
2018,NGA,8,502.0,1939385.0
2018,RWA,4,76.0,26423.0
2018,SDN,4,69.0,127476.0
2018,SEN,1,0.0,320000.0
2018,SLE,1,11.0,70.0
2018,SOM,2,58.0,928000.0
2018,SSD,1,20.0,0.0
2018,TCD,1,90.0,4227.0
2018,TGO,1,11.0,2.0
2018,TUN,2,93.0,30000.0
2018,TZA,6,304.0,16010.0
2018,UGA,6,250.0,1026.0
2018,ZAF,3,46.0,458.0
2018,ZMB,1,20.0,7.0
2018,ZWE,4,170.0,15894.0
2019,AGO,3,71.0,16520.0
2019,BDI,3,61.0,13715.0
2019,BEN,1,13.0,24.0
2019,BWA,1,0.0,38000.0
2019,CAF,2,53.0,48518.0
2019,CIV,1,12.0,14646.0
2019,CMR,2,71.0,0.0
2019,COD,20,4609.0,613408.0
2019,COG,6,3837.0,461258.0
2019,COM,2,8.0,345311.0
2019,DJI,3,112.0,250000.0
2019,DZA,1,8.0,125025.0
2019,EGY,4,75.0,90.0
2019,ETH,6,250.0,201801.0
2019,GHA,4,108.0,26132.0
2019,GIN,2,27.0,0.0
2019,GMB,1,4.0,15101.0
2019,KEN,4,213.0,2837306.0
2019,LBR,1,28.0,0.0
2019,LBY,5,186.0,20248.0
2019,LSO,1,0.0,433000.0
2019,MAR,8,115.0,285.0
2019,MDG,3,17.0,21393.0
2019,MLI,6,79.0,7029.0
2019,MOZ,6,704.0,2026237.0
2019,MRT,2,63.0,33600.0
2019,MWI,3,68.0,991755.0
2019,NER,5,170.0,223040.0
2019,NGA,13,352.0,94200.0
2019,RWA,3,42.0,5958.0
2019,SDN,5,154.0,355236.0
2019,SEN,2,16.0,8985.0
2019,SLE,2,7.0,10381.0
2019,SOM,4,23.0,2030000.0
2019,SSD,4,60.0,935749.0
2019,SWZ,1,0.0,232000.0
2019,TCD,2,52.0,460.0
2019,TUN,2,106.0,17.0
2019,TZA,7,150.0,2005216.0
2019,UGA,10,257.0,209553.0
2019,ZAF,7,120.0,754520.0
2019,ZMB,3,24.0,1430021.0
2019,ZWE,3,719.0,270486.0
2020,AGO,3,33.0,1663916.0
2020,BDI,3,5.0,41762.0
2020,BEN,1,6.0,7000.0
2020,BFA,4,13.0,3030452.0
2020,CIV,1,24.0,18657.0
2020,CMR,2,37.0,26421.0
2020,COD,15,266.0,232047.0
2020,COG,2,20.0,66000.0
2020,CPV,1,1.0,25000.0
2020,DJI,2,8.0,110000.0
2020,DZA,3,31.0,15046.0
2020,EGY,1,40.0,20400.0
2020,ERI,1,0.0,0.0
2020,ETH,5,44.0,1229954.0
2020,GHA,5,97.0,235.0
2020,GIN,1,0.0,49541.0
2020,KEN,4,298.0,5310694.0
2020,LBR,1,50.0,0.0
2020,LBY,5,166.0,84.0
2020,LSO,1,0.0,766000.0
2020,MAR,2,26.0,36.0
2020,MDG,3,44.0,1790046.0
2020,MLI,2,22.0,6800021.0
2020,MOZ,4,37.0,2853700.0
2020,MRT,5,92.0,1420006.0
2020,MWI,1,1.0,2250.0
2020,NAM,2,0.0,1924.0
2020,NER,3,83.0,4382620.0
2020,NGA,11,414.0,195552.0
2020,RWA,5,111.0,22455.0
2020,SDN,4,211.0,877150.0
2020,SEN,3,166.0,17016.0
2020,SOM,3,41.0,1311020.0
2020,SSD,1,0.0,1042000.0
2020,TCD,2,3.0,36934.0
2020,TGO,1,11.0,57000.0
2020,TUN,4,107.0,40012.0
2020,TZA,6,65.0,65097.0
2020,UGA,8,61.0,140221.0
2020,ZAF,3,38.0,470.0
2020,ZMB,3,3.0,705772.0
2021,AGO,2,22.0,9937.0
2021,BDI,2,38.0,52251.0
2021,BEN,1,13.0,35850.0
2021,BFA,1,11.0,3.0
2021,CAF,1,0.0,3957.0
2021,CIV,1,25.0,31.0
2021,CMR,4,112.0,49.0
2021,COD,12,562.0,292420.0
2021,COG,2,49.0,46652.0
2021,DJI,1,34.0,0.0
2021,DZA,6,134.0,45642.0
2021,EGY,7,98.0,6548.0
2021,ETH,2,16.0,6800000.0
2021,GHA,2,9.0,326.0
2021,GIN,3,21.0,71837.0
2021,GMB,1,10.0,16949.0
2021,GNB,1,14.0,0.0
2021,GNQ,1,107.0,19700.0
2021,KEN,4,53.0,1652253.0
2021,LBR,1,16.0,11.0
2021,LBY,5,163.0,64.0
2021,LSO,1,0.0,2550.0
2021,MAR,2,24.0,1385.0
2021,MDG,3,88.0,2450.0
2021,MLI,1,23.0,9.0
2021,MOZ,3,11.0,2056082.0
2021,MRT,1,50.0,7.0
2021,MWI,1,13.0,55551.0
2021,NAM,1,0.0,401.0
2021,NER,4,272.0,111354.0
2021,NGA,8,3885.0,187704.0
2021,RWA,2,0.0,19865.0
2021,SDN,3,121.0,322018.0
2021,SLE,2,101.0,8745.0
2021,SOM,2,25.0,7500000.0
2021,SSD,3,17.0,8558670.0
2021,STP,1,8.0,219668.0
