annee,iso3_accueil,iso3_origine,nb_demandes
2016,IRL,RWA,6
2016,IRL,SDN,8
2016,IRL,SEN,5
2016,IRL,SOM,7
2016,IRL,TGO,5
2016,IRL,TUN,5
2016,IRL,ZAF,73
2016,IRL,ZWE,140
2016,LUX,CIV,5
2016,LUX,CMR,8
2016,LUX,DZA,10
2016,LUX,ERI,7
2016,LUX,GIN,5
2016,LUX,NGA,19
2016,LUX,SEN,5
2016,LUX,TGO,5
2016,LUX,TUN,7
2016,MLT,DZA,5
2016,MLT,EGY,13
2016,MLT,ERI,33
2016,MLT,ETH,30
2016,MLT,GMB,9
2016,MLT,LBY,22
2016,MLT,NER,5
2016,MLT,NGA,8
2016,MLT,SDN,5
2016,MLT,SEN,5
2016,MLT,SOM,22
2016,NOR,AGO,5
2016,NOR,BDI,15
2016,NOR,CIV,17
2016,NOR,CMR,7
2016,NOR,COD,14
2016,NOR,COG,5
2016,NOR,DJI,5
2016,NOR,DZA,43
2016,NOR,EGY,117
2016,NOR,ERI,380
2016,NOR,ETH,456
2016,NOR,GHA,15
2016,NOR,GIN,21
2016,NOR,GMB,33
2016,NOR,KEN,7
2016,NOR,LBR,5
2016,NOR,LBY,24
2016,NOR,MAR,63
2016,NOR,MLI,6
2016,NOR,MRT,5
2016,NOR,NER,5
2016,NOR,NGA,91
2016,NOR,RWA,5
2016,NOR,SDN,105
2016,NOR,SEN,15
2016,NOR,SLE,8
2016,NOR,SOM,430
2016,NOR,SSD,9
2016,NOR,TUN,13
2016,NOR,UGA,11
2016,NOR,ZMB,5
2016,NOR,ZWE,5
2016,POL,EGY,6
2016,POL,NGA,7
2016,SWE,AGO,13
2016,SWE,BDI,31
2016,SWE,CIV,19
2016,SWE,CMR,32
2016,SWE,COD,28
2016,SWE,COG,14
2016,SWE,DJI,28
2016,SWE,DZA,105
2016,SWE,EGY,257
2016,SWE,ERI,440
2016,SWE,ETH,473
2016,SWE,GHA,41
2016,SWE,GIN,23
2016,SWE,GMB,100
2016,SWE,GNB,5
2016,SWE,KEN,36
2016,SWE,LBR,5
2016,SWE,LBY,140
2016,SWE,MAR,260
2016,SWE,MLI,5
2016,SWE,NGA,317
2016,SWE,RWA,8
2016,SWE,SDN,161
2016,SWE,SEN,25
2016,SWE,SLE,11
2016,SWE,SOM,1446
2016,SWE,TCD,5
2016,SWE,TGO,5
2016,SWE,TUN,65
2016,SWE,TZA,33
2016,SWE,UGA,44
2016,SWE,ZMB,5
2016,SWE,ZWE,13
2017,CYP,CIV,5
2017,CYP,CMR,20
2017,CYP,COD,10
2017,CYP,EGY,42
2017,CYP,GMB,6
2017,CYP,NGA,16
2017,CYP,SOM,16
2017,DNK,CMR,10
2017,DNK,COD,17
2017,DNK,DZA,8
2017,DNK,EGY,9
2017,DNK,ERI,9
2017,DNK,ETH,57
2017,DNK,GHA,9
2017,DNK,GIN,6
2017,DNK,GMB,7
2017,DNK,KEN,5
2017,DNK,LBY,8
2017,DNK,NGA,35
2017,DNK,SDN,10
2017,DNK,SLE,5
2017,DNK,SOM,100
2017,DNK,TUN,5
2017,DNK,UGA,30
2017,FRA,AGO,415
2017,FRA,BDI,13
2017,FRA,BEN,32
2017,FRA,BFA,119
2017,FRA,CAF,440
2017,FRA,CIV,1318
2017,FRA,CMR,309
2017,FRA,COD,3026
2017,FRA,COG,571
2017,FRA,COM,146
2017,FRA,DJI,58
2017,FRA,DZA,1258
2017,FRA,EGY,297
2017,FRA,ERI,299
2017,FRA,ESH,716
2017,FRA,ETH,207
2017,FRA,GAB,108
2017,FRA,GHA,24
2017,FRA,GIN,2434
2017,FRA,GMB,139
2017,FRA,GNB,77
2017,FRA,GNQ,9
2017,FRA,KEN,47
2017,FRA,LBR,33
2017,FRA,LBY,209
2017,FRA,MAR,285
2017,FRA,MDG,81
2017,FRA,MLI,1009
2017,FRA,MOZ,8
2017,FRA,MRT,785
2017,FRA,MUS,13
2017,FRA,NER,53
2017,FRA,NGA,1625
2017,FRA,RWA,70
2017,FRA,SDN,2594
2017,FRA,SEN,474
2017,FRA,SLE,91
2017,FRA,SOM,417
2017,FRA,TCD,278
2017,FRA,TGO,128
2017,FRA,TUN,101
2017,FRA,TZA,7
2017,FRA,UGA,5
2017,GRC,BFA,7
2017,GRC,CIV,18
2017,GRC,CMR,66
2017,GRC,COD,139
2017,GRC,COG,22
2017,GRC,DZA,286
2017,GRC,EGY,359
2017,GRC,ERI,19
2017,GRC,ETH,29
2017,GRC,GHA,30
2017,GRC,GIN,36
2017,GRC,GMB,14
2017,GRC,KEN,5
2017,GRC,MAR,161
2017,GRC,MLI,25
2017,GRC,NER,9
2017,GRC,NGA,151
2017,GRC,RWA,5
2017,GRC,SDN,16
2017,GRC,SEN,35
2017,GRC,SLE,27
2017,GRC,SOM,5
2017,GRC,TGO,5
2017,GRC,TUN,17
2017,GRC,UGA,6
2017,GRC,ZWE,5
2017,IRL,BWA,5
2017,IRL,CIV,5
2017,IRL,CMR,5
2017,IRL,COD,23
2017,IRL,DZA,16
2017,IRL,EGY,5
2017,IRL,GHA,14
2017,IRL,LBR,5
2017,IRL,LSO,5
2017,IRL,MUS,11
2017,IRL,MWI,54
2017,IRL,NGA,161
2017,IRL,RWA,7
2017,IRL,SLE,5
2017,IRL,SWZ,5
2017,IRL,ZAF,46
2017,IRL,ZWE,111
2017,LUX,AGO,5
2017,LUX,DZA,10
2017,LUX,ERI,5
2017,LUX,SOM,5
2017,LUX,TUN,10
2017,MLT,BFA,5
2017,MLT,CIV,5
2017,MLT,DZA,5
2017,MLT,EGY,7
2017,MLT,ERI,29
2017,MLT,ETH,20
2017,MLT,GMB,5
2017,MLT,LBY,33
2017,MLT,MLI,5
2017,MLT,NGA,21
2017,MLT,SDN,17
2017,MLT,SEN,7
2017,MLT,SOM,62
2017,MLT,TUN,7
2017,NOR,AGO,11
2017,NOR,BDI,7
2017,NOR,CIV,15
2017,NOR,COD,12
2017,NOR,DJI,5
2017,NOR,DZA,12
2017,NOR,EGY,16
2017,NOR,ERI,203
2017,NOR,ETH,292
2017,NOR,GHA,7
2017,NOR,GIN,6
2017,NOR,GMB,5
2017,NOR,LBR,6
2017,NOR,LBY,9
2017,NOR,MAR,36
2017,NOR,NGA,46
2017,NOR,RWA,5
2017,NOR,SDN,31
2017,NOR,SEN,5
2017,NOR,SLE,5
2017,NOR,SOM,165
2017,NOR,TUN,9
2017,NOR,UGA,5
2017,POL,COD,5
2017,POL,DZA,7
2017,POL,EGY,5
2017,POL,ETH,5
2017,POL,GIN,5
2017,POL,NGA,5
2017,POL,SDN,5
2017,SWE,AGO,11
2017,SWE,BDI,20
2017,SWE,CIV,13
2017,SWE,CMR,34
2017,SWE,COD,20
2017,SWE,COG,13
2017,SWE,DJI,29
2017,SWE,DZA,79
2017,SWE,EGY,143
2017,SWE,ERI,236
2017,SWE,ETH,493
2017,SWE,GHA,33
2017,SWE,GIN,11
2017,SWE,GMB,73
2017,SWE,KEN,33
2017,SWE,LBR,5
2017,SWE,LBY,68
2017,SWE,MAR,222
2017,SWE,MLI,9
2017,SWE,NGA,166
2017,SWE,RWA,9
2017,SWE,SDN,91
2017,SWE,SEN,14
2017,SWE,SLE,12
2017,SWE,SOM,1047
2017,SWE,TCD,5
2017,SWE,TUN,71
2017,SWE,TZA,28
2017,SWE,UGA,15
2017,SWE,ZAF,6
2017,SWE,ZWE,5
2018,CYP,CIV,5
2018,CYP,CMR,24
2018,CYP,COD,10
2018,CYP,EGY,74
2018,CYP,ETH,5
2018,CYP,GMB,18
2018,CYP,NGA,7
2018,CYP,SOM,8
2018,DNK,BDI,5
2018,DNK,CMR,5
2018,DNK,DZA,8
2018,DNK,EGY,5
2018,DNK,ERI,5
2018,DNK,ETH,5
2018,DNK,GIN,5
2018,DNK,GMB,7
2018,DNK,KEN,5
2018,DNK,LBY,7
2018,DNK,MAR,22
2018,DNK,NGA,21
2018,DNK,SOM,60
2018,DNK,UGA,8
2018,FRA,AGO,713
2018,FRA,BEN,56
2018,FRA,BFA,117
2018,FRA,CAF,249
2018,FRA,CIV,3008
2018,FRA,CMR,567
2018,FRA,COD,2735
2018,FRA,COG,859
2018,FRA,COM,148
2018,FRA,DJI,59
2018,FRA,DZA,1744
2018,FRA,EGY,395
2018,FRA,ERI,229
2018,FRA,ESH,597
2018,FRA,ETH,436
2018,FRA,GAB,271
2018,FRA,GIN,3518
2018,FRA,GMB,163
2018,FRA,GNB,112
2018,FRA,GNQ,19
2018,FRA,KEN,29
2018,FRA,LBR,33
2018,FRA,LBY,289
2018,FRA,MAR,358
2018,FRA,MDG,74
2018,FRA,MLI,1289
2018,FRA,MRT,620
2018,FRA,NER,42
2018,FRA,NGA,2316
2018,FRA,RWA,111
2018,FRA,SDN,1508
2018,FRA,SEN,1048
2018,FRA,SLE,150
2018,FRA,SOM,980
2018,FRA,TCD,468
2018,FRA,TGO,175
2018,FRA,TUN,132
2018,FRA,TZA,5
2018,FRA,UGA,21
2018,FRA,ZWE,8
2018,GRC,BDI,5
2018,GRC,BFA,12
2018,GRC,CIV,28
2018,GRC,CMR,151
2018,GRC,COD,353
2018,GRC,COG,18
2018,GRC,COM,11
2018,GRC,DZA,242
2018,GRC,EGY,565
2018,GRC,ERI,12
2018,GRC,ESH,5
2018,GRC,ETH,98
2018,GRC,GHA,54
2018,GRC,GIN,60
2018,GRC,GMB,17
2018,GRC,KEN,5
2018,GRC,LBR,5
2018,GRC,LBY,5
2018,GRC,MAR,117
2018,GRC,MLI,38
2018,GRC,MRT,5
2018,GRC,NGA,119
2018,GRC,SDN,16
2018,GRC,SEN,18
2018,GRC,SLE,22
2018,GRC,SOM,12
2018,GRC,TGO,10
2018,GRC,TUN,26
2018,GRC,TZA,9
2018,GRC,UGA,21
2018,GRC,ZWE,9
2018,HRV,DZA,14
2018,HRV,EGY,5
2018,HRV,MAR,5
2018,HRV,TUN,14
2018,IRL,AGO,5
2018,IRL,BDI,5
2018,IRL,BEN,5
2018,IRL,BWA,10
2018,IRL,CMR,15
2018,IRL,COD,80
